Date,STI_Y,SGDUSD,BARCLAY,CRUDEPETROLEUM,DOW,EAFE,SGDEURO,SGDHKD,SGDIDR,SGDJPY,SGDMYR,GOLD_PRICE,NASDAQ,SP500,WILSHIRE5000
7/15/2015,0.767647899,0.366969274,0.953221472,0.501992002,0.172050169,0.455616169,0.704575163,0.537320281,0.88247496,0.899375362,0.841054707,0.15426455,0.149918765,0.17874595,0.226511782
7/16/2015,0.779911908,0.403631285,0.96138912,0.492031843,0.177095081,0.475229872,0.720499109,0.503670847,0.882646882,0.903114079,0.837070807,0.148823835,0.161492874,0.189593334,0.236845038
7/20/2015,0.796748651,0.424022346,0.962131515,0.476892443,0.175666854,0.477330802,0.783719548,0.483634139,0.881959284,0.902953955,0.838508296,0.08945417,0.171524636,0.192155833,0.236622023
7/21/2015,0.795008658,0.439734637,0.965101876,0.481075689,0.162628342,0.470676521,0.76969697,0.469868461,0.880475687,0.900443407,0.839535075,0.084173441,0.169589665,0.186330746,0.230151375
7/22/2015,0.784720004,0.386871508,0.973269524,0.457768879,0.157715174,0.453164745,0.738562092,0.519118997,0.883841057,0.909843717,0.835592246,0.064970365,0.163040499,0.183081015,0.227339387
7/23/2015,0.78236639,0.399650838,0.954706523,0.443027884,0.149140048,0.447210376,0.737492573,0.507800551,0.884872322,0.912994868,0.842533268,0.069130993,0.158471434,0.175374232,0.218916339
7/24/2015,0.779239447,0.425,0.951736508,0.436852546,0.137377914,0.422343809,0.671895425,0.486234322,0.886274552,0.892485173,0.840110071,0.055688802,0.148061211,0.160924014,0.204731176
7/27/2015,0.746263638,0.446927374,0.939856191,0.421912309,0.128167832,0.405882278,0.664171123,0.464821046,0.885469453,0.877583767,0.839288648,0.073131634,0.139259931,0.153210803,0.195593937
7/28/2015,0.719087807,0.425768156,0.959904243,0.433665315,0.141822458,0.433901814,0.596910279,0.482563475,0.89045412,0.868343955,0.841917201,0.072811661,0.148165723,0.169658431,0.212345562
7/29/2015,0.721533884,0.385055866,0.985150101,0.449800792,0.150541701,0.441956954,0.646702317,0.520342612,0.89141303,0.900977616,0.842204699,0.067050582,0.152223136,0.179497467,0.222721011
7/30/2015,0.692550813,0.429329609,0.988862684,0.444422286,0.150152236,0.440205761,0.669756387,0.481951667,0.891892573,0.893446824,0.837440447,0.060169597,0.155294985,0.179535883,0.223569282
7/31/2015,0.653026915,0.463826816,1,0.416533823,0.146112201,0.45351476,0.671301248,0.451208321,0.882863948,0.879987496,0.840233284,0.070571262,0.1552049,0.176459723,0.221945684
8/3/2015,0.644864919,0.451815642,0.995545455,0.377689185,0.139513787,0.447560989,0.660962567,0.460538391,0.893738035,0.885007738,0.840972564,0.061769853,0.152880736,0.172734747,0.217335549
8/4/2015,0.643393911,0.483938547,0.969556595,0.389043846,0.136093663,0.449312182,0.645157457,0.432089324,0.885369887,0.865619926,0.845654674,0.063850069,0.151109659,0.169703431,0.214819398
8/5/2015,0.643688113,0.513477654,0.96519737,0.377290859,0.135358037,0.461220363,0.668686869,0.407464056,0.887260672,0.862575541,0.846804666,0.055848788,0.1573057,0.173890796,0.217961542
8/6/2015,0.64811795,0.528212291,0.968177687,0.367529864,0.126667618,0.451763726,0.646702317,0.393851331,0.880050477,0.874486027,0.847379662,0.063049941,0.142261577,0.163435242,0.205773555
8/11/2015,0.611468823,0.517597765,0.954765222,0.336055803,0.125450292,0.440205761,0.574925728,0.404557969,0.884257167,0.874860112,0.859701002,0.090894441,0.138721271,0.163762786,0.206101005
8/12/2015,0.534497251,0.656075419,0.943588427,0.340438213,0.125426531,0.424095002,0.447890671,0.290455797,0.884257167,0.824974621,0.862575982,0.115858399,0.140090574,0.165034393,0.207212638
8/13/2015,0.559958307,0.634776536,0.945824097,0.319123494,0.125839758,0.422693984,0.381105169,0.301927195,0.884257167,0.801634503,0.863725973,0.103856477,0.138139328,0.163325956,0.205192214
8/14/2015,0.578846057,0.619832402,0.948058989,0.32450198,0.130817743,0.426196371,0.39275104,0.313551545,0.884257167,0.813758522,0.880359783,0.099375876,0.140784242,0.168560239,0.211218799
